perm
       1       1       1    0.172231E-12    0.172231E-12    0.172231E-12
       2       2       1    0.152542E-12    0.152542E-12    0.152542E-12
       3       3       1    0.242751E-12    0.242751E-12    0.242751E-12
       4       4       1    0.221459E-12    0.221459E-12    0.221459E-12
       5       5       1    0.264525E-12    0.264525E-12    0.264525E-12
       6       6       1    0.288253E-12    0.288253E-12    0.288253E-12
       7       7       1    0.226023E-12    0.226023E-12    0.226023E-12
       8       8       1    0.150812E-12    0.150812E-12    0.150812E-12
       9       9       1    0.134174E-12    0.134174E-12    0.134174E-12
      10      10       1    0.120994E-12    0.120994E-12    0.120994E-12
      11      11       1    0.133318E-12    0.133318E-12    0.133318E-12
      12      12       1    0.144205E-12    0.144205E-12    0.144205E-12
      13      13       1    0.102620E-12    0.102620E-12    0.102620E-12
      14      14       1    0.133785E-12    0.133785E-12    0.133785E-12
      15      15       1    0.135373E-12    0.135373E-12    0.135373E-12
      16      16       1    0.102846E-12    0.102846E-12    0.102846E-12
      17      17       1    0.118373E-12    0.118373E-12    0.118373E-12
      18      18       1    0.677780E-13    0.677780E-13    0.677780E-13
      19      19       1    0.111312E-12    0.111312E-12    0.111312E-12
      20      20       1    0.115762E-12    0.115762E-12    0.115762E-12
      21      21       1    0.982816E-13    0.982816E-13    0.982816E-13
      22      22       1    0.116261E-12    0.116261E-12    0.116261E-12
      23      23       1    0.123982E-12    0.123982E-12    0.123982E-12
      24      24       1    0.106254E-12    0.106254E-12    0.106254E-12
      25      25       1    0.858101E-13    0.858101E-13    0.858101E-13
      26      26       1    0.485472E-13    0.485472E-13    0.485472E-13
      27      27       1    0.560216E-13    0.560216E-13    0.560216E-13
      28      28       1    0.759623E-13    0.759623E-13    0.759623E-13
      29      29       1    0.704242E-13    0.704242E-13    0.704242E-13
      30      30       1    0.798969E-13    0.798969E-13    0.798969E-13
      31      31       1    0.782209E-13    0.782209E-13    0.782209E-13
      32      32       1    0.108727E-12    0.108727E-12    0.108727E-12
      33      33       1    0.745923E-13    0.745923E-13    0.745923E-13
      34      34       1    0.971093E-13    0.971093E-13    0.971093E-13
      35      35       1    0.897239E-13    0.897239E-13    0.897239E-13
      36      36       1    0.687198E-13    0.687198E-13    0.687198E-13
      37      37       1    0.643951E-13    0.643951E-13    0.643951E-13
      38      38       1    0.688987E-13    0.688987E-13    0.688987E-13
      39      39       1    0.800649E-13    0.800649E-13    0.800649E-13
      40      40       1    0.780412E-13    0.780412E-13    0.780412E-13
      41      41       1    0.967313E-13    0.967313E-13    0.967313E-13
      42      42       1    0.825032E-13    0.825032E-13    0.825032E-13
      43      43       1    0.715457E-13    0.715457E-13    0.715457E-13
      44      44       1    0.626797E-13    0.626797E-13    0.626797E-13
      45      45       1    0.637288E-13    0.637288E-13    0.637288E-13
      46      46       1    0.555196E-13    0.555196E-13    0.555196E-13
      47      47       1    0.708338E-13    0.708338E-13    0.708338E-13
      48      48       1    0.459998E-13    0.459998E-13    0.459998E-13
      49      49       1    0.406434E-13    0.406434E-13    0.406434E-13
      50      50       1    0.541922E-13    0.541922E-13    0.541922E-13
      51      51       1    0.596347E-13    0.596347E-13    0.596347E-13
      52      52       1    0.188715E-12    0.188715E-12    0.188715E-12
      53      53       1    0.214056E-12    0.214056E-12    0.214056E-12
      54      54       1    0.284928E-12    0.284928E-12    0.284928E-12
      55      55       1    0.194676E-12    0.194676E-12    0.194676E-12
      56      56       1    0.265772E-12    0.265772E-12    0.265772E-12
